"","Scientific_Name","Acronym","SE.RELATIONSHIP","FAMILY","C.Value","Common_Name","Family"
"257","Saccharum giganteum","ERIGIG","#ERROR!","Poaceae",6,"Sugarcane Plumegrass","Poaceae"
"258","Sacciolepis indica","SACIND","#ERROR!","Poaceae",NA,NA,NA
"259","Sagittaria graminea var. chapmanii","SAGCHA","#ERROR!","Alismataceae",8,"Chapman's Arrowhead","Alismataceae"
"260","Salvia lyrata","SALLYR","#ERROR!","Lamiaceae",2,"Lyreleaf Sage","Lamiaceae"
"261","Sarracenia minor","SARMINM","<","Sarraceniaceae",NA,NA,NA
"262","Schizachyrium scoparium var. scoparium","SCHRHI","<","Poaceae",NA,NA,NA
"263","Schizachyrium scoparium var. stoloniferum","SCHSTO","#ERROR!","Poaceae",NA,NA,NA
"264","Schoenolirion albiflorum","SCHALB","#ERROR!","Agavaceae",8,"White Sunnybell","Hyacinthaceae"
"265","Scleria baldwinii","SCLBAL","#ERROR!","Cyperaceae",8,"Baldwin's Nutrush","Cyperaceae"
"266","Scleria ciliata","SCLPAUP","<","Cyperaceae",4,"Fringed Nutrush","Cyperaceae"
"267","Scleria ciliata","SCLCILE","<","Cyperaceae",4,"Fringed Nutrush","Cyperaceae"
"268","Scleria distans","SCLDISD","<","Cyperaceae",8,"Riverswamp Nutrush","Cyperaceae"
"269","Scleria georgiana","SCLGEO","#ERROR!","Cyperaceae",7,"Slenderfruit Nutrush","Cyperaceae"
"270","Scleria reticularis","SCLMUE","<","Cyperaceae",5,"Netted Nutrush","Cyperaceae"
"271","Scleria triglomerata","SCLTRI","<","Cyperaceae",5,"Tall Nutgrass; Whip Nutrush","Cyperaceae"
"272","Scoparia dulcis","SCODUL","#ERROR!","Plantaginaceae",2,"Sweetbroom; Licoriceweed","Veronicaceae"
"273","Serenoa repens","SERREP","#ERROR!","Arecaceae",5,"Saw Palmetto","Arecaceae"
"274","Sericocarpus tortifolius","SERTOR","#ERROR!","Asteraceae",6,"Whitetop Aster; Dixie Aster","Asteraceae"
"275","Setaria parviflora","SETPAR","#ERROR!","Poaceae",3,"Yellow Bristlegrass; Knotroot Foxtail","Poaceae"
"276","Sideroxylon reclinatum ssp. reclinatum","SIDRECR1","#ERROR!","Sapotaceae",NA,NA,NA
"277","Sisyrinchium angustifolium","SISMIA","<","Iridaceae",4,"Narrowleaf Blue-Eyed Grass","Iridaceae"
"278","Sisyrinchium nashii","SISNAS","<","Iridaceae",5,"Nash's Blue-Eyed Grass","Iridaceae"
"279","Smilax auriculata","SMIAUR","#ERROR!","Smilacaceae",4,"Earleaf Greenbrier","Smilacaceae"
"280","Smilax bona-nox","SMIBONB","<","Smilacaceae",NA,NA,NA
"281","Solanum viarum","SOLVIA","#ERROR!","Solanaceae",NA,NA,NA
"282","Solidago fistulosa","SOLFIS","#ERROR!","Asteraceae",5,"Pinebarren Goldenrod","Asteraceae"
"283","Solidago odora var. chapmanii","SOLCHA","#ERROR!","Asteraceae",6,"Chapman's Goldenrod","Asteraceae"
"284","Solidago stricta","SOLVIR","#ERROR!","Asteraceae",4,"Wand Goldenrod","Asteraceae"
"285","Solidago tortifolia","SOLTOR1","#ERROR!","Asteraceae",7,"Twistedleaf Goldenrod","Asteraceae"
"286","Sorghastrum secundum","SORSEC","#ERROR!","Poaceae",8,"Lopsided Indiangrass","Poaceae"
"287","Spartina bakeri","SPABAK","#ERROR!","Poaceae",7,"Sand Cordgrass","Poaceae"
"288","Spiranthes praecox","SPIPRA","#ERROR!","Orchidaceae",8,"Greenvein Ladiestresses","Orchidaceae"
"289","Sporobolus junceus","SPOJUN","#ERROR!","Poaceae",8,"Pineywoods Dropseed","Poaceae"
"290","Stenanthium densum","STEDEN","<","Melanthiaceae",NA,NA,NA
"291","Stillingia sylvatica","STISYLT","<","Euphorbiaceae",8,"Queensdelight","Euphorbiaceae"
"292","Stillingia sylvatica","STISYLS","<","Euphorbiaceae",8,"Queensdelight","Euphorbiaceae"
"293","Symphyotrichum dumosum","SYMDUMD","<","Asteraceae",7,"Rice Button Aster","Asteraceae"
"294","Symphyotrichum simmondsii","SYMSIM","<","Asteraceae",4,"Simmonds' Aster","Asteraceae"
"295","Syngonanthus flavidulus","SYNFLA","#ERROR!","Eriocaulaceae",7,"Yellow Hatpins","Eriocaulaceae"
"296","Tephrosia hispidula","TEPHIS","#ERROR!","Fabaceae",5,"Sprawling Hoarypea","Fabaceae"
"297","Thelypteris interrupta","CYCINT","#ERROR!","Thelypteridaceae",7,"Hottentot Fern; Willdenow's Fern","Thelypteridaceae"
"298","Urena lobata","URELOB","#ERROR!","Malvaceae",NA,NA,NA
"299","Utricularia juncea","UTRJUN","#ERROR!","Lentibulariaceae",7,"Southern Bladderwort","Lentibulariaceae"
"300","Utricularia subulata","UTRSUB","#ERROR!","Lentibulariaceae",7,"Zigzag Bladderwort","Lentibulariaceae"
"301","Vaccinium darrowii","VACDAR","#ERROR!","Ericaceae",8,"Darrow's Blueberry","Ericaceae"
"302","Vaccinium myrsinites","VACMYR","#ERROR!","Ericaceae",7,"Shiny Blueberry","Ericaceae"
"303","Viola lanceolata","VIOVIT","<","Violaceae",6,"Bog White Violet","Violaceae"
"304","Viola palmata","VIOSEP","<","Violaceae",NA,NA,NA
"305","Viola primulifolia","VIOPRI","#ERROR!","Violaceae",NA,NA,NA
"306","Viola sororia","VIOFLO1","<","Violaceae",2,"Common Blue Violet","Violaceae"
"307","Vitis rotundifolia","MUSROTM","<","Vitaceae",3,"Muscadine","Vitaceae"
"308","Vitis shuttleworthii","VITSHU","#ERROR!","Vitaceae",4,"Calloose Grape","Vitaceae"
"309","Woodwardia virginica","ANCVIR","#ERROR!","Blechnaceae",7,"Virginia Chain Fern","Blechnaceae"
"310","Xyris ambigua","XYRAMB","#ERROR!","Xyridaceae",8,"Coastalplain Yelloweyed Grass","Xyridaceae"
"311","Xyris brevifolia","XYRBRE","#ERROR!","Xyridaceae",7,"Shortleaf Yelloweyed Grass","Xyridaceae"
"312","Xyris caroliniana","XYRCAR","#ERROR!","Xyridaceae",9,"Carolina Yelloweyed Grass","Xyridaceae"
"313","Xyris elliottii","XYRELL","<","Xyridaceae",6,"Elliott's Yelloweyed Grass","Xyridaceae"
"314","Xyris flabelliformis","XYRFLA","#ERROR!","Xyridaceae",7,"Savannah Yelloweyed Grass","Xyridaceae"
"315","Xyris floridana","XYRFLO","#ERROR!","Xyridaceae",6,"Florida Yelloweyed Grass","Xyridaceae"
"316","Xyris jupicai","XYRJUP","#ERROR!","Xyridaceae",NA,NA,NA
"317","Xyris platylepis","XYRPLA","#ERROR!","Xyridaceae",8,"Tall Yelloweyed Grass","Xyridaceae"
"318","Xyris serotina","XYRSER","#ERROR!","Xyridaceae",NA,NA,NA
"319","Zeuxine strateumatica","ZEUSTR","#ERROR!","Orchidaceae",NA,NA,NA
